arnumber,customertype,industrygroup,isterminated,customername,supportmodel,liveyear,livequarter,livemonth,vertical
LOC1002,Customer - Strategic,Technology and Professional Services,0,"Lochmueller Group, Inc.",CAST 1.0,2020,Qtr 1,March,S&D
LOE5000,Customer - Mid-Market,Manufacturing,0,Loewen Windows and Doors,CAST Canada,2021,Qtr 1,March,MFG
LOG1003,Customer - Strategic,Finance and Insurance,0,Logix Federal Credit Union,CAST 2.0,2018,Qtr 1,January,S&D - FIN
LOG1005,Customer - Mid-Market,Technology and Professional Services,0,Logistics Management Institute,CAST 2.0,2020,Qtr 2,April,S&D
LON1004,Customer - Strategic,Healthcare,0,"Long Island Plastic Surgical Group, P. C.",CAST 1.0,2018,Qtr 3,July,HEALTHCARE
LON1005,Customer - Mid-Market,Healthcare,0,"Long Island Vision Management, LLC",CAST 2.0,2021,Qtr 3,August,HEALTHCARE
LON5000,Customer - Mid-Market,Utilities and Mining,0,London Hydro Inc.,CAST Canada,2019,Qtr 4,November,PUBLIC SECTOR
LOO1001,Customer - Strategic,Retail,1,"Loot Crate, Inc.",,2018,Qtr 1,January,RETAIL
LOR1000,Customer - Mid-Market,Finance and Insurance,0,"Lord, Abbett & Co. LLC",CAST 2.0,2020,Qtr 3,September,S&D
LOS1001,Customer - Enterprise,Sports and Entertainment,0,"The Los Angeles Rams, LLC",CAST 2.0,2019,Qtr 2,April,RETAIL
LOU1001,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,"Louisiana United Methodist Children and Family Services, Inc.",CAST 1.0,2020,Qtr 3,September,HEALTHCARE
LOV1003,Customer - Strategic,Sports and Entertainment,0,Loveland Living Planet Aquarium,CAST 1.0,2019,Qtr 2,June,RETAIL
LOV1004,Customer - Mid-Market,Education,0,"The Lovett School, Inc.",CAST 1.0,2020,Qtr 2,June,PUBLIC SECTOR - K12
LOW1003,Customer - Strategic,Finance and Insurance,0,The Lowell Five Cent Savings Bank,CAST 1.0,2020,Qtr 2,June,S&D - FIN
LRP1000,Customer - Strategic,Technology and Professional Services,0,LRP Publications,CAST 1.0,2019,Qtr 1,March,S&D
LSE1000,Customer - Strategic,Business Services,0,"L & S Electric, Inc.",CAST 2.0,2021,Qtr 1,March,S&D
LUT1008,Customer - Enterprise,"Non-Profits, Membership, and Human Services",0,"Lutheran Services Florida, Inc.",CAST 2.0,2019,Qtr 3,July,PUBLIC SECTOR
LUT1009,Customer - Strategic,"Non-Profits, Membership, and Human Services",1,Lutheran Hour Ministries,CAST 1.0,2020,Qtr 3,July,S&D
LUT1010,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,enCircle,CAST 1.0,2020,Qtr 4,October,PUBLIC SECTOR
LUX1000,Customer - Strategic,Finance and Insurance,0,Luxury Mortgage Corp.,CAST 1.0,2021,Qtr 3,August,S&D - FIN
LYD1000,Customer - Enterprise,Manufacturing,0,"Lydall, Inc.",CAST 2.0,2021,Qtr 1,January,MFG
LYD1001,Customer - Strategic,Technology and Professional Services,0,Lydecker LLP,CAST 1.0,2021,Qtr 3,July,
LYE1000,Customer - Strategic,Manufacturing,0,"Lyell Immunopharma, Inc.",CAST 1.0,2020,Qtr 2,June,MFG - LIFE SCI
MAC1009,Customer - Mid-Market,Real Estate,0,Macerich Management Company,CAST 2.0,2018,Qtr 2,June,S&D
MAC1011,Customer - Strategic,Manufacturing,0,"MacroGenics, Inc.",CAST 1.0,2019,Qtr 1,January,MFG - LIFE SCI
MAC5000,Customer - Enterprise,Technology and Professional Services,0,"MacDonald, Dettwiler and Associates Inc.",CAST Canada,2021,Qtr 1,February,S&D
MAG1008,Customer - Mid-Market,Technology and Professional Services,0,MAG Aerospace,CAST 2.0,2018,Qtr 3,September,MFG
MAG1009,Customer - Mid-Market,Technology and Professional Services,0,Magic Memories (USA) LLC,CAST 2.0,2020,Qtr 1,January,S&D
MAG1010,Customer - Strategic,Utilities and Mining,0,Magnolia Oil & Gas Operating LLC,CAST 1.0,2020,Qtr 1,January,MFG - ENERGY
MAG1011,Customer - Strategic,Technology and Professional Services,0,"Magnolia River International, Inc.",CAST 1.0,2020,Qtr 2,May,S&D
MAI1004,Customer - Strategic,Finance and Insurance,0,Maine Employers' Mutual Insurance Company,CAST 1.0,2019,Qtr 1,January,S&D - FIN
MAI1005,Customer - Strategic,Finance and Insurance,0,Mainstreet Community Bank of Florida,CAST 1.0,2020,Qtr 2,June,S&D - FIN
MAI1006,Customer - Strategic,,0,Maid of the Mist Corporation,CAST 1.0,2020,Qtr 2,May,S&D
MAJ1001,Customer - Strategic,Wholesale Trade,0,"Majestic Steel USA, Inc.",CAST 1.0,2019,Qtr 2,April,S&D
MAJ1002,Customer - Mid-Market,Restaurants and Hospitality,0,Major Food Group LLC,CAST 2.0,2020,Qtr 1,February,RETAIL
MAK1000,Customer - Strategic,Healthcare,0,Mako Medical Laboratories LLC,CAST 1.0,2019,Qtr 2,April,HEALTHCARE
MAL1001,Customer - Strategic,Manufacturing,0,"Malco Products, SBC",CAST 1.0,2019,Qtr 4,November,MFG
MAN1018,Customer - Strategic,Wholesale Trade,0,"Management Data Systems International, Inc.",CAST 1.0,2020,Qtr 1,January,S&D
MAN5001,Customer - Strategic,Manufacturing,0,9199-5779 Quebec Inc.,CAST Canada,2021,Qtr 2,June,RETAIL
MAR1028,Customer - Enterprise,Technology and Professional Services,1,"Match MG US, LLC",CAST 2.0,2018,Qtr 1,January,S&D
MAR1029,Customer - Enterprise,Manufacturing,0,"Mars Information Services, Inc.",Global,2018,Qtr 3,September,MFG
MAR1032,Customer - Strategic,Technology and Professional Services,0,Market Resource Partners LLC,CAST 1.0,2018,Qtr 1,February,S&D
MAR1033,Customer - Strategic,Technology and Professional Services,0,The Marine Biological Laboratory,CAST 1.0,2018,Qtr 2,May,MFG - LIFE SCI
MAR1035,Customer - Enterprise,Manufacturing,0,"The Marvin Companies, Inc.",Global,2018,Qtr 4,December,MFG
MAR1036,Customer - Strategic,Technology and Professional Services,0,"Marsh, Berry & Company, Inc.",CAST 1.0,2019,Qtr 3,July,S&D
MAR1038,Customer - Mid-Market,Retail,0,"MarineMax, Inc.",CAST 2.0,2020,Qtr 2,June,RETAIL
MAR1039,Customer - Enterprise,Healthcare,0,"Marquis Health Services, LLC",CAST 2.0,2020,Qtr 3,September,HEALTHCARE
MAR1040,Customer - Strategic,Wholesale Trade,0,"Maryland & Virginia Milk Producers Cooperative Association, Inc.",CAST 2.0,2020,Qtr 2,June,S&D
1-Mar,Customer - Strategic,Manufacturing,0,March Networks Corporation,CAST Canada,2020,Qtr 2,June,MFG
MAS1012,Customer - Mid-Market,Wholesale Trade,0,Master Electronics,CAST 2.0,2018,Qtr 2,May,S&D
MAS1013,Customer - Strategic,Finance and Insurance,0,Massachusetts Higher Education Assistance Corporation d/b/a American Student Assistance,CAST 1.0,2018,Qtr 2,June,S&D
MAS1014,Customer - Enterprise,Business Services,0,"MasterCorp, Inc.",CAST 2.0,2019,Qtr 1,January,S&D
MAS1015,Customer - Enterprise,Restaurants and Hospitality,0,Mashantucket Pequot Gaming Enterprise d/b/a Foxwoods Resort Casino,Global,2019,Qtr 4,December,RETAIL
MAS1016,Customer - Enterprise,Construction,0,"MasTec North America, Inc.",Global,2021,Qtr 3,August,MFG
MAS1017,Customer - Mid-Market,Manufacturing,0,"Masters Gallery Foods, Incorporated",CAST 2.0,2021,Qtr 2,June,MFG
MAT1007,Customer - Strategic,Technology and Professional Services,0,"MatrixCare, Inc.",CAST 2.0,2018,Qtr 1,January,S&D
MAT1008,Customer - Mid-Market,Retail,0,Mathis Bros. Oklahoma City LLC,CAST 2.0,2018,Qtr 2,April,RETAIL
MAT1010,Customer - Mid-Market,"Non-Profits, Membership, and Human Services",0,Matrix Human Services,CAST 2.0,2019,Qtr 4,December,PUBLIC SECTOR
MAX1007,Customer - Strategic,Wholesale Trade,0,"Max Finkelstein, Inc.",CAST 1.0,2018,Qtr 4,December,S&D
MAX5000,Customer - Mid-Market,Technology and Professional Services,0,Maxims Limited Partnership,CAST Canada,2019,Qtr 1,January,S&D
MAZ1001,Customer - Enterprise,Retail,0,"Mazda Toyota Manufacturing, U.S.A., Inc.",CAST 2.0,2020,Qtr 1,January,MFG
MCA1000,Customer - Strategic,Technology and Professional Services,0,"McAngus, Goudelock & Courie, LLC",CAST 2.0,2020,Qtr 2,June,S&D
MCA5000,Customer - Mid-Market,Finance and Insurance,0,MCAP Service Corporation,CAST Canada,2019,Qtr 4,November,S&D - FIN
MCC1006,Customer - Strategic,Construction,0,McCownGordon Construction,CAST 1.0,2018,Qtr 2,June,MFG
MCC1007,Customer - Mid-Market,Real Estate,0,"McCormack Baron Management, Inc",CAST 2.0,2018,Qtr 3,July,S&D
MCD1002,Customer - Strategic,Transportation and Warehousing,0,McDonough Corporation,CAST 1.0,2018,Qtr 2,June,MFG
MCI1000,Customer - Mid-Market,Retail,0,"MCI, LC",CAST 2.0,2021,Qtr 1,March,RETAIL
MCK1004,Customer - Mid-Market,Technology and Professional Services,0,"McKim & Creed, Inc.",CAST 2.0,2021,Qtr 1,January,S&D
MCL1001,Customer - Strategic,Technology and Professional Services,0,McLaren Technical Services Inc.,CAST 1.0,2021,Qtr 2,June,S&D
MCM1003,Customer - Strategic,Manufacturing,0,"McMichael Mills, Inc.",CAST 1.0,2021,Qtr 3,August,MFG
MCW1000,Customer - Enterprise,Manufacturing,0,"McWane, Inc.",CAST 2.0,2018,Qtr 2,April,MFG
MDB1001,Customer - Strategic,Manufacturing,0,"M-D Building Products, Inc.",CAST 2.0,2018,Qtr 1,January,MFG
MDU1000,Customer - Enterprise,Utilities and Mining,0,MDU Resources Group Inc.,Global,2020,Qtr 4,December,MFG - ENERGY
MED1019,Customer - Strategic,Healthcare,0,MEDIKO PC,CAST 1.0,2019,Qtr 2,May,HEALTHCARE
MED1021,Customer - Enterprise,Healthcare,1,Medical University Hospital Authority,CAST 2.0,2019,Qtr 1,March,HEALTHCARE
MED1022,Customer - Mid-Market,Technology and Professional Services,0,"MediaMath, Inc.",CAST 2.0,2020,Qtr 1,January,S&D
MED1023,Customer - Mid-Market,Technology and Professional Services,0,Meduit,CAST 2.0,2020,Qtr 1,January,S&D
MED1024,Customer - Strategic,,0,MedCare Equipment,CAST 1.0,2020,Qtr 2,June,S&D
MED1025,Customer - Strategic,Technology and Professional Services,0,"Medisolv, Inc.",CAST 1.0,2021,Qtr 1,March,S&D
MED5000,Customer - Strategic,Wholesale Trade,0,Medisca Pharmaceutique Inc.,CAST Canada,2021,Qtr 1,January,S&D
MEG1001,Customer - Strategic,Manufacturing,0,"InVeris Training Solutions, Inc.",CAST 1.0,2020,Qtr 4,November,MFG
MEL1005,Customer - Mid-Market,Retail,0,"Melissa & Doug, LLC",CAST 1.0,2018,Qtr 3,July,S&D
MEL1006,Customer - Strategic,Technology and Professional Services,0,"MELE Associates, Inc.",CAST 1.0,2019,Qtr 3,July,S&D
MEM1004,Customer - Strategic,Finance and Insurance,0,Members First Credit Union,CAST 1.0,2018,Qtr 1,March,S&D - FIN
MEM1005,Customer - Strategic,Business Services,0,The Memorial Hospital at Craig,CAST 1.0,2019,Qtr 1,February,HEALTHCARE
MEM1006,Customer - Enterprise,Sports and Entertainment,0,"Memphis Basketball, LLC",CAST 1.0,2020,Qtr 2,June,RETAIL
MEN1003,Customer - Mid-Market,Healthcare,0,Mental Health Center of Denver,CAST 2.0,2018,Qtr 1,January,HEALTHCARE
MEN1004,Customer - Strategic,Healthcare,0,"Mental Health Cooperative, Inc.",CAST 1.0,2018,Qtr 2,June,HEALTHCARE
MEN1005,Customer - Mid-Market,Healthcare,0,Mental Health Systems Inc.,CAST 2.0,2019,Qtr 1,January,HEALTHCARE
MEN1006,Customer - Strategic,Healthcare,0,Mendocino Community Health Clinic,CAST 1.0,2018,Qtr 4,October,HEALTHCARE
MER1023,Customer - Strategic,Technology and Professional Services,0,"MercuryGate International, Inc.",CAST 1.0,2018,Qtr 3,July,S&D
MER1024,Customer - Enterprise,"Non-Profits, Membership, and Human Services",0,Mercy Corps,CAST 2.0,2018,Qtr 3,August,PUBLIC SECTOR
MER1025,Customer - Strategic,Manufacturing,0,"Meridian Adhesives Group, Inc.",CAST 1.0,2019,Qtr 4,December,MFG
MER5001,Customer - Enterprise,Finance and Insurance,0,Meridian Credit Union Limited,Global,2020,Qtr 3,August,S&D - FIN
MES1005,Customer - Enterprise,Manufacturing,0,"Messer North America, Inc.",UMS,2019,Qtr 4,December,MFG - ENERGY
MES1006,Customer - Mid-Market,Technology and Professional Services,0,"Mesa Associates, Inc.",CAST 1.0,2020,Qtr 2,May,S&D
MES1007,Customer - Strategic,Manufacturing,0,"Mesa Laboratories, Inc.",CAST 2.0,2021,Qtr 3,July,MFG
MET1014,Customer - Strategic,Finance and Insurance,0,Metro City Bank,CAST 1.0,2018,Qtr 2,April,S&D - FIN
MET1015,Customer - Mid-Market,Healthcare,0,Methodist Family Health,CAST 1.0,2019,Qtr 3,July,HEALTHCARE
MET1017,Customer - Strategic,Manufacturing,0,"Metal Industries, LLC",CAST 1.0,2021,Qtr 1,January,MFG
MEY1001,Customer - Strategic,Construction,0,Meyer Contracting Inc.,CAST 1.0,2019,Qtr 4,December,MFG
MFS1000,Customer - Strategic,Manufacturing,0,MFS Supply LLC,CAST 1.0,2019,Qtr 1,January,S&D
MGA1000,Customer - Strategic,Finance and Insurance,0,"MGA Insurance Company, Inc.",CAST 2.0,2019,Qtr 3,August,S&D - FIN
MIA1005,Customer - Enterprise,Sports and Entertainment,0,South Florida Stadium LLC,CAST 1.0,2019,Qtr 1,January,RETAIL
MIC1013,Customer - Strategic,Manufacturing,0,"Michelman, Inc.",CAST 1.0,2020,Qtr 1,January,MFG
MIC1014,Customer - Strategic,Finance and Insurance,0,Micross Components,CAST 2.0,2020,Qtr 4,October,MFG
MID1017,Customer - Strategic,Manufacturing,0,"Mid-American Elevator Equipment Co., Inc.",CAST 1.0,2018,Qtr 1,January,MFG
MID1018,Customer - Mid-Market,Healthcare,0,"Midwest Dental, Inc.",CAST 2.0,2019,Qtr 4,October,HEALTHCARE
MID1019,Customer - Strategic,Transportation and Warehousing,0,"Mid-America Overseas, Inc.",CAST 1.0,2019,Qtr 3,September,S&D
MID1020,Customer - Strategic,Manufacturing,0,"Midwest Industrial Supply, Inc.",CAST 1.0,2020,Qtr 1,February,MFG
MID1021,Customer - Strategic,Healthcare,0,"Mid South Rehab Services, Inc.",CAST 1.0,2021,Qtr 1,January,HEALTHCARE
MID1022,Customer - Strategic,Transportation and Warehousing,0,Midnite Air Corp. d/b/a MNX Global Logistics,CAST 1.0,2021,Qtr 1,January,S&D
MID1023,Customer - Mid-Market,Finance and Insurance,0,MidWestOne Financial Group Inc,CAST 2.0,2021,Qtr 2,April,S&D - FIN
MID1024,Customer - Strategic,Utilities and Mining,0,Mid South Electric Cooperative Association,CAST 1.0,2021,Qtr 1,March,PUBLIC SECTOR
MIL1027,Customer - Mid-Market,Manufacturing,0,"Millstone Medical Outsourcing, LLC",CAST 2.0,2019,Qtr 2,April,S&D
MIL1028,Customer - Strategic,Healthcare,0,"Milestones Behavioral Services, Inc.",CAST 1.0,2019,Qtr 2,June,PUBLIC SECTOR
MIL1029,Customer - Strategic,Manufacturing,0,Milwaukee Electronics Corporation,CAST 1.0,2019,Qtr 4,October,MFG
MIM1000,Customer - Mid-Market,Manufacturing,0,MiMedx,CAST 2.0,2020,Qtr 2,June,MFG - LIFE SCI
MIN1009,Customer - Strategic,Finance and Insurance,0,"M3 Insurance Solutions, Inc.",CAST 1.0,2018,Qtr 3,July,S&D - FIN
MIN1010,Customer - Mid-Market,Manufacturing,0,"Minco Products, Inc.",CAST 2.0,2018,Qtr 4,October,MFG
MIN1011,Customer - Strategic,Education,0,Minnesota Adult &Teen Challenge,CAST 1.0,2019,Qtr 4,October,HEALTHCARE
MIN1013,Customer - Strategic,Public Sector,0,Minnesota Counties Computer Cooperative (Chisago County),CAST 1.0,2021,Qtr 3,August,PUBLIC SECTOR
MIN1014,Customer - Strategic,Public Sector,0,Minnesota Counties Computer Cooperative - (Mower County),CAST 1.0,2021,Qtr 3,August,PUBLIC SECTOR
MIN1015,Customer - Strategic,Technology and Professional Services,0,Minnesota Counties Computer Cooperative (Cass County),CAST 1.0,2021,Qtr 3,August,
MIR1003,Customer - Strategic,Real Estate,0,"Miravida Living, Inc.",CAST 1.0,2018,Qtr 1,January,S&D
MIR1004,Customer - Strategic,Technology and Professional Services,1,Mi9 Retail,CAST 1.0,2019,Qtr 2,May,S&D
MIR1005,Customer - Strategic,Manufacturing,0,"Miratech Group, LLC",CAST 1.0,2020,Qtr 2,June,MFG
MIS1011,Customer - Strategic,Healthcare,0,Mississippi Sports Medicine & Orthopaedic Center,CAST 1.0,2020,Qtr 3,August,HEALTHCARE
MIT1004,Customer - Strategic,Wholesale Trade,0,Mitutoyo America Corporation,CAST 1.0,2018,Qtr 1,January,S&D
MIT1005,Customer - Strategic,Technology and Professional Services,0,Mitchell Silberberg and Knupp,CAST 1.0,2019,Qtr 1,January,S&D
MIX1000,Customer - Strategic,Technology and Professional Services,1,"Mixpanel, Inc.",CAST 1.0,2018,Qtr 2,May,S&D
MKS1001,Customer - Strategic,Technology and Professional Services,0,"MKS2, LLC",CAST 1.0,2021,Qtr 3,August,
MMG1000,Customer - Strategic,Finance and Insurance,0,MMG Insurance Company,CAST 1.0,2018,Qtr 2,May,S&D - FIN
MOB1003,Customer - Strategic,Technology and Professional Services,0,Mobile Housing Authority,CAST 1.0,2018,Qtr 4,November,PUBLIC SECTOR
MOD1011,Customer - Strategic,Manufacturing,0,"Modern Meadow, Inc.",CAST 1.0,2019,Qtr 1,January,MFG
MOD1012,Customer - Strategic,Transportation and Warehousing,0,"Mode Transportation, LLC",CAST 1.0,2021,Qtr 1,January,S&D
MOD1013,Customer - Strategic,Technology and Professional Services,0,"Modern Animal, Inc.",CAST 1.0,2021,Qtr 2,June,S&D
MOD5000,Customer - Enterprise,Finance and Insurance,0,Modern Niagara Group,CAST Canada,2020,Qtr 3,August,MFG
MOM1003,Customer - Mid-Market,Restaurants and Hospitality,0,"Momo Holdings, LLC (d/b/a Momofuku)",CAST 2.0,2018,Qtr 3,August,RETAIL
MOM1004,Customer - Strategic,Technology and Professional Services,0,Momentum Consulting Corp.,CAST 1.0,2020,Qtr 4,November,
MON1020,Customer - Strategic,Manufacturing,0,"Monoflo International, Inc.",CAST 1.0,2020,Qtr 2,June,MFG
MON1021,Customer - Strategic,Wholesale Trade,0,Monroe Tractor,CAST 1.0,2020,Qtr 3,September,S&D
MON5001,Customer - Strategic,Finance and Insurance,0,Mondofix Inc.,CAST Canada,2020,Qtr 2,April,RETAIL
MOO1003,Customer - Mid-Market,Real Estate,0,"Moody National Management, L.P.",CAST 2.0,2018,Qtr 4,October,S&D - FIN
MOO1004,Customer - Strategic,Technology and Professional Services,0,"Moody-Nolan, Inc.",CAST 1.0,2020,Qtr 3,July,S&D
MOR1016,Customer - Strategic,Manufacturing,1,The Morey Corporation,,2018,Qtr 2,June,S&D
MOR1017,Customer - Strategic,Technology and Professional Services,0,"The Morgan Group, Inc.",CAST 1.0,2019,Qtr 2,June,S&D
MOR1018,Customer - Strategic,Finance and Insurance,0,"Mortgage Trade Holding Co., LLC",CAST 1.0,2020,Qtr 1,January,S&D - FIN
MOR1019,Customer - Strategic,Technology and Professional Services,0,"MORI Associates, Incorporated",CAST 1.0,2020,Qtr 1,January,S&D
MOR1020,Customer - Mid-Market,Healthcare,0,Morningside Ministries,CAST 1.0,2020,Qtr 3,July,HEALTHCARE
MOR1021,Customer - Strategic,Manufacturing,0,Morton Industries LLC,CAST 2.0,2020,Qtr 3,August,MFG
MOS5000,Customer - Strategic,Healthcare,0,Mosaic Primary Care Network,CAST Canada,2021,Qtr 2,May,HEALTHCARE
MOT1003,Customer - Mid-Market,Retail,0,Motor Werks Auto Group,CAST 1.0,2019,Qtr 2,April,RETAIL
MOT1004,Customer - Mid-Market,Finance and Insurance,0,Mother Lode Holding Co.,CAST 1.0,2019,Qtr 4,December,S&D - FIN
MOT1005,Customer - Strategic,Technology and Professional Services,0,Mother Industries LLC,CAST 1.0,2020,Qtr 1,January,S&D
MOT1006,Customer - Mid-Market,"Non-Profits, Membership, and Human Services",0,"Motivation, Education & Training, Inc.",CAST 2.0,2021,Qtr 1,January,PUBLIC SECTOR - HE
MOV5000,Customer - Mid-Market,Sports and Entertainment,0,Movati Athletic (Group) Inc.,CAST Canada,2020,Qtr 1,March,RETAIL
MRO1000,Customer - Strategic,Transportation and Warehousing,0,MRO Corporation,CAST 2.0,2018,Qtr 1,January,S&D
MSA1000,Customer - Mid-Market,Business Services,0,MSA Security,CAST 2.0,2018,Qtr 1,January,S&D
MSB1000,Customer - Strategic,Technology and Professional Services,0,MS Benbow and Associates,CAST 1.0,2021,Qtr 2,April,S&D
MTS5000,Customer - Mid-Market,Technology and Professional Services,0,MT Services Limited Partnership and McCarthy Tetrault LLP,CAST Canada,2018,Qtr 3,July,MFG
MTX1000,Customer - Strategic,Technology and Professional Services,0,MTX,CAST 1.0,2020,Qtr 2,May,S&D
MUD1000,Customer - Strategic,Retail,0,"Mud Bay, Inc.",CAST 1.0,2021,Qtr 2,April,RETAIL
MUN1001,Customer - Strategic,Manufacturing,0,"Munchkin, Inc.",CAST 1.0,2019,Qtr 4,November,MFG
MUS1002,Customer - Mid-Market,Sports and Entertainment,0,The Museum of Modern Art,CAST 2.0,2018,Qtr 2,April,RETAIL
MUS1003,Customer - Mid-Market,Sports and Entertainment,0,"Museum of Fine Arts, Houston",CAST 2.0,2018,Qtr 4,October,RETAIL
MUS1004,Customer - Strategic,Sports and Entertainment,0,Museum Of Science,CAST 2.0,2019,Qtr 1,January,RETAIL
MUS1005,Customer - Strategic,Technology and Professional Services,0,"Mustang Extreme Environmental Services, LLC",CAST 1.0,2019,Qtr 2,April,MFG - ENERGY
MUS1006,Customer - Strategic,Healthcare,0,M3 USA Corporation,CAST 1.0,2019,Qtr 3,July,HEALTHCARE
MUS1007,Customer - Strategic,Sports and Entertainment,0,Museum of Flight Foundation,CAST 1.0,2020,Qtr 2,April,RETAIL
MUZ1001,Customer - Strategic,Wholesale Trade,0,"Muza Metal Products, LLC",CAST 1.0,2020,Qtr 1,March,MFG
MYC1000,Customer - Mid-Market,Education,0,MyComputerCareer Inc.,CAST 2.0,2021,Qtr 1,January,PUBLIC SECTOR - HE
MYH5000,Customer - Strategic,Healthcare,0,MyHealth Centre Inc.,CAST Canada,2021,Qtr 1,March,HEALTHCARE
MYO1000,Customer - Strategic,Manufacturing,0,"MyoKardia, Inc.",CAST 1.0,2019,Qtr 3,September,MFG - LIFE SCI
NAC1000,Customer - Mid-Market,Wholesale Trade,0,NACS USA Inc. d/b/a Novo Building Products,CAST 2.0,2019,Qtr 4,December,S&D
NAS1003,Customer - Strategic,Technology and Professional Services,0,Nasuni Corporation,CAST 1.0,2020,Qtr 1,January,S&D
NAS1004,Customer - Mid-Market,Manufacturing,0,Nashville Wire Products,CAST 2.0,2020,Qtr 3,August,MFG
NAT1045,Customer - Strategic,Business Services,0,National Recoveries Inc,CAST 1.0,2018,Qtr 1,January,S&D
NAT1046,Customer - Mid-Market,Retail,0,"National Seating & Mobility, Inc",CAST 2.0,2018,Qtr 2,April,RETAIL
NAT1047,Customer - Strategic,Public Sector,0,National Wildlife Federation,CAST 1.0,2018,Qtr 3,September,S&D
NAT1048,Customer - Strategic,Restaurants and Hospitality,0,"Nation's Foodservice, Inc.",CAST 1.0,2018,Qtr 4,October,RETAIL
NAT1049,Customer - Enterprise,Finance and Insurance,0,National Life Insurance Company (Field Payroll),Global,2019,Qtr 4,November,DEALER
NAT1050,Customer - Strategic,Sports and Entertainment,0,National September 11 Memorial and Museum at the World Trade Center,CAST 1.0,2018,Qtr 4,November,RETAIL
NAT1051,Customer - Mid-Market,"Non-Profits, Membership, and Human Services",0,National Democratic Institute,CAST 1.0,2019,Qtr 2,May,S&D
NAT1052,Customer - Strategic,Wholesale Trade,0,"National Oak Distributors, Inc.",CAST 1.0,2018,Qtr 4,December,S&D
NAT1053,Customer - Strategic,Wholesale Trade,0,"Nature's Bakery, LLC",CAST 1.0,2019,Qtr 2,May,MFG
NAT1054,Customer - Enterprise,Media and Publishing Services,0,"National Amusements, Inc.",CAST 2.0,2019,Qtr 3,September,RETAIL
NAT1055,Customer - Mid-Market,Business Services,0,National Hospitality Services,CAST 2.0,2020,Qtr 1,March,RETAIL
NAT1056,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,National Committee For Quality Assurance,CAST 1.0,2020,Qtr 1,January,S&D
NAT1057,Customer - Strategic,Wholesale Trade,1,"Natural Partners, Inc.",CAST 1.0,2020,Qtr 3,September,MFG - LIFE SCI
NAT1058,Customer - Strategic,Healthcare,0,National Advisors Trust Company,CAST 1.0,2020,Qtr 2,May,S&D - FIN
NAT1059,Customer - Enterprise,Healthcare,0,National Health Corporation,Global,2020,Qtr 4,December,S&D
NAT1060,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,National Conference of State Legislatures,CAST 1.0,2020,Qtr 2,June,PUBLIC SECTOR
NAT1062,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,National Domestic Violence Hotline,CAST 1.0,2021,Qtr 1,March,PUBLIC SECTOR
NAT5000,Customer - Mid-Market,Wholesale Trade,0,Nature's Path Foods Inc.,CAST Canada,2018,Qtr 3,August,MFG
NAV1002,Customer - Strategic,Healthcare,0,"Navajo Health Foundation -Sage Memorial Hospital, Inc",CAST 1.0,2021,Qtr 3,July,HEALTHCARE
NCG1000,Customer - Mid-Market,Healthcare,0,"ncgCARE, Inc.",CAST 2.0,2021,Qtr 1,January,HEALTHCARE
NCM1000,Customer - Strategic,Finance and Insurance,0,NCMIC Group Inc.,CAST 1.0,2018,Qtr 4,December,S&D - FIN
NDM1000,Customer - Strategic,Technology and Professional Services,0,2nd.MD,CAST 1.0,2019,Qtr 4,December,S&D
NDP1000,Customer - Enterprise,Manufacturing,0,ND Paper,CAST 2.0,2019,Qtr 3,July,MFG
NEI1006,Customer - Strategic,Technology and Professional Services,1,NeighborFavor Inc.,,2018,Qtr 1,February,S&D
NEI1007,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,Neighborhood Health Center,CAST 1.0,2018,Qtr 4,December,PUBLIC SECTOR
NEI5000,Customer - Mid-Market,"Non-Profits, Membership, and Human Services",0,The Neighbourhood Group Community Services,CAST Canada,2019,Qtr 3,September,PUBLIC SECTOR
NEO1001,Customer - Strategic,Technology and Professional Services,0,"NEO Philanthropy, Inc.",CAST 1.0,2019,Qtr 2,May,PUBLIC SECTOR
NEP1001,Customer - Strategic,Finance and Insurance,0,"NEPC, LLC",CAST 1.0,2018,Qtr 1,March,S&D - FIN
NER1002,Customer - Strategic,Technology and Professional Services,0,The Nerdery LLC,CAST 1.0,2020,Qtr 1,January,S&D
NES1000,Customer - Strategic,Technology and Professional Services,0,"Nest International, Inc.",CAST 1.0,2019,Qtr 1,January,S&D
NET1007,Customer - Strategic,Construction,0,"Network Building + Consulting, LLC",CAST 1.0,2019,Qtr 3,July,S&D
NET1008,Customer - Strategic,Technology and Professional Services,0,"NetBrain Technologies, Inc.",CAST 1.0,2020,Qtr 2,April,S&D
NET1009,Customer - Strategic,Technology and Professional Services,0,"NetImpact Strategies, Inc",CAST 1.0,2020,Qtr 2,May,S&D
NET1010,Customer - Strategic,Wholesale Trade,0,Network Services Company,CAST 1.0,2021,Qtr 3,August,MFG
NEU1000,Customer - Mid-Market,Technology and Professional Services,0,"Neudesic, LLC",CAST 1.0,2019,Qtr 3,August,S&D
